nivel,codigo,n_total,n_ninos,n_ninas,pct_ninos,pct_ninas,hogar_jefa_mujer_n,hogar_jefa_mujer_pct,hogar_jefe_hombre_n,hogar_jefe_hombre_pct,edu_primaria_o_menos_n,edu_primaria_o_menos_pct,edu_secundaria_n,edu_secundaria_pct,edu_terciaria_n,edu_terciaria_pct,agua_sin_agua_tubería_n,agua_sin_agua_tubería_pct,agua_agua_tubería_n,agua_agua_tubería_pct,tierra_sin_tierra_agricultura_n,tierra_sin_tierra_agricultura_pct,tierra_con_tierra_agricultura_n,tierra_con_tierra_agricultura_pct,zona_urbano_n,zona_urbano_pct,zona_rural_n,zona_rural_pct,hacin_sin_hacinamiento_n,hacin_sin_hacinamiento_pct,hacin_hacinamiento_n,hacin_hacinamiento_pct,tnc_sec_mean
Nacional,0,2317966,1184465,1133501,0.5109932587449514,0.4890067412550486,1422795,0.6138118505620876,895171,0.38618814943791235,864548,0.3729769979369844,879174,0.37928684027289444,574244,0.24773616179012117,636393,0.27454803047154275,1681573,0.7254519695284573,2142626,0.9243560949556637,175340,0.07564390504433628,1660591,0.7164000679906435,657375,0.28359993200935646,1766808,0.7622234320952076,551158,0.2377765679047924,0.6927589824009498
Región 1,1,319413,164067,155346,0.5136516046623024,0.4863483953376976,193834,0.6068444302517431,125579,0.39315556974825694,120975,0.3787416291760198,129340,0.40493029400807107,69098,0.21632807681590918,61760,0.19335468500029743,257653,0.8066453149997026,301193,0.942957863330547,18220,0.05704213666945303,209555,0.6560628402726251,109858,0.34393715972737493,261552,0.818852081787529,57861,0.181147918212471,0.7011000000000002
Región 2,2,165700,85191,80509,0.514127942063971,0.48587205793602894,101136,0.6103560651780325,64564,0.3896439348219674,63159,0.3811647555823778,61596,0.37173204586602293,40945,0.24710319855159926,64072,0.38667471333735665,101628,0.6133252866626433,152377,0.9195956547978273,13323,0.0804043452021726,87420,0.5275799637899818,78280,0.4724200362100181,138627,0.8366143633071816,27073,0.16338563669281836,0.7236000000000001
Región 3,3,136214,70101,66113,0.5146387302333093,0.48536126976669064,81362,0.5973101149661562,54852,0.4026898850338438,54504,0.40013508156283495,48542,0.35636571864859706,33168,0.243499199788568,44643,0.32774164182829957,91571,0.6722583581717004,121089,0.8889614870718134,15125,0.11103851292818653,74492,0.5468747705815848,61722,0.45312522941841515,111218,0.8164946334444331,24996,0.18350536655556698,0.7331000000000001
Región 4,4,90898,46493,44405,0.5114854012189487,0.4885145987810513,53794,0.5918062003564435,37104,0.4081937996435565,42793,0.470780435213096,29118,0.32033708112389714,18987,0.20888248366300688,11752,0.1292877731083192,79146,0.8707122268916808,83201,0.9153226693656626,7697,0.08467733063433738,57559,0.6332262536029396,33339,0.36677374639706045,72572,0.7983894035072279,18326,0.20161059649277213,0.6213999999999997
Región 5,5,223733,114940,108793,0.5137373565812822,0.48626264341871783,138493,0.6190101594311076,85240,0.3809898405688924,88978,0.39769725521045174,89343,0.3993286640772707,45412,0.20297408071227757,66706,0.29815002704116067,157027,0.7018499729588393,202409,0.9046899652711043,21324,0.0953100347288956,122159,0.546003495237627,101574,0.453996504762373,167188,0.7472657140430782,56545,0.2527342859569219,0.7095999999999999
Región 6,6,103286,52866,50420,0.5118409077706563,0.4881590922293438,61886,0.5991712332745968,41400,0.40082876672540324,53537,0.5183374319849737,24957,0.2416300369846833,24792,0.24003253103034294,27240,0.2637337102801929,76046,0.7362662897198071,89294,0.8645314950719362,13992,0.1354685049280638,80087,0.7753906628197432,23199,0.22460933718025677,69036,0.668396491296013,34250,0.33160350870398697,0.6581
Región 7,7,130818,67087,63731,0.5128269809964989,0.4871730190035011,73213,0.5596553991040988,57605,0.44034460089590116,71342,0.545353085966763,30822,0.23560977847085263,28654,0.21903713556238438,29719,0.2271782170649299,101099,0.7728217829350701,103606,0.7919858123499824,27212,0.20801418765001758,84641,0.6470134079408032,46177,0.35298659205919675,94393,0.721559724196976,36425,0.27844027580302405,0.7516
Región 8,8,184197,93259,90938,0.5063003197663372,0.4936996802336629,112109,0.608636405587496,72088,0.391363594412504,78400,0.4256312534948995,72816,0.39531588462352807,32981,0.17905286188157243,72381,0.3929542826430398,111816,0.6070457173569602,172391,0.935905579352541,11806,0.06409442064745897,149346,0.810794964087363,34851,0.18920503591263702,110752,0.6012692932023865,73445,0.3987307067976134,0.6889000000000002
Región 9,9,147505,75699,71806,0.5131961628419376,0.4868038371580624,99907,0.6773126334700519,47598,0.3226873665299481,61037,0.41379614250364394,55218,0.37434663231754856,31250,0.2118572251788075,72003,0.48813938510558963,75502,0.5118606148944104,129911,0.8807226873665299,17594,0.11927731263347005,103378,0.7008440391851124,44127,0.29915596081488766,108684,0.7368157011626725,38821,0.2631842988373275,0.7794
Región 10,10,816202,414762,401440,0.5081609699559668,0.49183903004403323,507061,0.6212444958478416,309141,0.3787555041521584,229823,0.2815761294385459,337422,0.41340501493502835,248957,0.30501885562642583,186117,0.2280281106882855,630085,0.7719718893117145,787155,0.9644119960499974,29047,0.03558800395000257,691954,0.8477729777677585,124248,0.15222702223224152,632786,0.775281119134724,183416,0.224718880865276,0.6599999999999999
